entry_number,import_date,product_id,duty_paid,quantity,description,is_eligible,days_since_import,potential_refund
E18242,2021-07-04 00:29:30.219949,PROD-6186,1447.84,75,Sample Product 0,True,1336,1433.3616
E16068,2019-10-26 00:29:30.219949,PROD-6719,1372.69,5,Sample Product 1,False,1953,0.0
E32356,2023-12-13 00:29:30.219949,PROD-5178,3449.43,64,Sample Product 2,True,444,3414.9357
E69896,2023-08-17 00:29:30.219949,PROD-8753,2933.21,43,Sample Product 3,True,562,2903.8779
E11556,2022-11-29 00:29:30.219949,PROD-1838,3025.61,71,Sample Product 4,True,823,2995.3539
E87643,2023-01-02 00:29:30.219949,PROD-6782,4046.28,90,Sample Product 5,True,789,4005.8172
E51713,2023-02-28 00:29:30.219949,PROD-6127,1090.93,23,Sample Product 6,True,732,1080.0207
E36578,2023-12-21 00:29:30.219949,PROD-6782,506.83,1,Sample Product 7,True,436,501.76169999999996
E86974,2021-11-25 00:29:30.219949,PROD-6782,3488.93,34,Sample Product 8,True,1192,3454.0407
E67434,2019-09-09 00:29:30.219949,PROD-2883,4943.94,92,Sample Product 9,False,2000,0.0
E44720,2024-09-24 00:29:30.219949,PROD-3596,909.94,19,Sample Product 10,True,158,900.8406
E34219,2022-11-07 00:29:30.219949,PROD-6719,1430.9,92,Sample Product 11,True,845,1416.5910000000001
E11121,2019-04-23 00:29:30.219949,PROD-8255,4933.5,45,Sample Product 12,False,2139,0.0
E31561,2024-08-18 00:29:30.219949,PROD-7789,2256.26,4,Sample Product 13,True,195,2233.6974
E55661,2020-09-03 00:29:30.219949,PROD-5547,2793.21,68,Sample Product 14,True,1640,2765.2779
E22249,2022-06-08 00:29:30.219949,PROD-1838,1286.52,54,Sample Product 15,True,997,1273.6548
E88328,2024-06-18 00:29:30.219949,PROD-8390,1939.62,8,Sample Product 16,True,256,1920.2238
E39472,2022-08-20 00:29:30.219949,PROD-6698,4281.85,85,Sample Product 17,True,924,4239.0315
E86823,2020-04-03 00:29:30.219949,PROD-6719,1257.21,81,Sample Product 18,True,1793,1244.6379
E20254,2019-06-18 00:29:30.219949,PROD-6127,628.47,44,Sample Product 19,False,2083,0.0
E65736,2025-02-05 00:29:30.219949,PROD-2161,879.47,82,Sample Product 20,True,24,870.6753
E86459,2019-08-24 00:29:30.219949,PROD-3483,2789.71,32,Sample Product 21,False,2016,0.0
E33403,2023-08-07 00:29:30.219949,PROD-2267,485.13,92,Sample Product 22,True,572,480.2787
E95363,2020-06-08 00:29:30.219949,PROD-6389,981.76,44,Sample Product 23,True,1727,971.9424
E69197,2021-10-30 00:29:30.219949,PROD-8687,1431.52,12,Sample Product 24,True,1218,1417.2048
E48298,2021-10-31 00:29:30.219949,PROD-5935,1614.68,69,Sample Product 25,True,1217,1598.5332
E57898,2024-05-12 00:29:30.219949,PROD-7436,119.78,56,Sample Product 26,True,293,118.5822
E71273,2019-12-09 00:29:30.219949,PROD-6310,3430.09,55,Sample Product 27,False,1909,0.0
E30447,2021-09-25 00:29:30.219949,PROD-8074,1671.04,34,Sample Product 28,True,1253,1654.3296
E94646,2024-02-29 00:29:30.219949,PROD-5935,2756.38,65,Sample Product 29,True,366,2728.8162
E24435,2022-12-03 00:29:30.219949,PROD-1838,4088.18,54,Sample Product 30,True,819,4047.2981999999997
E66616,2021-01-17 00:29:30.219949,PROD-8687,2346.2,53,Sample Product 31,True,1504,2322.738
E74678,2024-04-09 00:29:30.219949,PROD-7186,4700.04,30,Sample Product 32,True,326,4653.0396
E27610,2024-02-28 00:29:30.219949,PROD-7436,3512.21,49,Sample Product 33,True,367,3477.0879
E93327,2020-08-17 00:29:30.219949,PROD-6719,1682.35,88,Sample Product 34,True,1657,1665.5265
E15366,2019-07-11 00:29:30.219949,PROD-8753,2094.83,59,Sample Product 35,False,2060,0.0
E30411,2019-04-16 00:29:30.219949,PROD-4559,830.94,28,Sample Product 36,False,2146,0.0
E12714,2019-11-13 00:29:30.219949,PROD-6698,2695.17,42,Sample Product 37,False,1935,0.0
E51495,2019-11-13 00:29:30.219949,PROD-2883,4748.38,45,Sample Product 38,False,1935,0.0
E49634,2019-03-23 00:29:30.219949,PROD-3483,897.68,9,Sample Product 39,False,2170,0.0
E34152,2021-06-26 00:29:30.219949,PROD-8074,271.09,45,Sample Product 40,True,1344,268.3791
E88921,2023-02-04 00:29:30.219949,PROD-8942,2530.82,34,Sample Product 41,True,756,2505.5118
E24939,2025-01-01 00:29:30.219949,PROD-8753,2566.97,28,Sample Product 42,True,59,2541.3003
E18122,2025-02-09 00:29:30.219949,PROD-8177,1446.69,2,Sample Product 43,True,20,1432.2231
E23734,2023-06-14 00:29:30.219949,PROD-8753,2645.44,25,Sample Product 44,True,626,2618.9856
