product_id,export_date,quantity,destination,export_reference
Off-7235,2022-05-27,32,Asia,EX-62662
Off-3747,2024-09-18,27,Canada,EX-35342
Tex-1466,2023-03-13,35,Asia,EX-75733
Off-9666,2024-08-17,26,Canada,EX-52107
Off-2528,2022-07-12,42,South America,EX-59811
Off-7420,2023-09-30,1,Mexico,EX-44754
Tex-3047,2020-01-06,39,Asia,EX-18680
Off-7949,2025-02-01,47,Mexico,EX-21111
Tex-5658,2025-01-25,15,Mexico,EX-40306
Hom-9838,2025-02-16,26,Canada,EX-26371
Hom-9322,2023-07-03,35,Asia,EX-30932
Hom-8099,2023-06-06,9,Canada,EX-52642
Hom-3558,2025-01-10,4,Canada,EX-22183
Hom-4556,2024-06-11,13,Asia,EX-63351
Hom-1860,2024-09-26,25,EU,EX-12200
Ele-5555,2022-11-28,1,Mexico,EX-87505
Tex-3734,2022-04-12,15,South America,EX-48467
Off-9792,2025-03-06,49,Asia,EX-68871
Hom-5426,2024-09-21,1,Canada,EX-80271
Off-9433,2022-07-20,27,EU,EX-55525
Ele-6734,2022-07-01,27,South America,EX-84290
PROD-6895,2025-02-15,98,South America,EX-64045
PROD-8022,2022-07-28,97,South America,EX-50764
PROD-8683,2023-09-14,64,Canada,EX-83744
PROD-8339,2024-10-07,93,South America,EX-53525
