entry_number,product_id,import_date,quantity,duty_paid
E00001,Hom-1860,2023-09-27,28,457.69
E00002,Hom-6191,2023-05-23,23,1105.82
E00003,Ele-6734,2021-12-24,37,1406.78
E00004,Tex-1466,2024-02-03,32,495.67
E00005,Hom-5426,2024-05-16,33,391.16
E00006,Hom-9322,2021-01-07,1,1965.23
E00007,Tex-1769,2025-01-19,19,1057.44
E00008,Off-7949,2019-08-15,2,558.62
E00009,Tex-6311,2022-08-14,44,1992.69
E00010,Off-7420,2023-10-15,26,1932.57
E00011,Ele-5555,2020-05-14,32,1138.67
E00012,Tex-7396,2023-04-17,6,1771.14
E00013,Off-9666,2020-11-11,32,417.98
E00014,Hom-3558,2023-06-27,4,593.8
E00015,Tex-3047,2018-05-30,11,1415.7
E00001,Off-3747,2021-10-06,17,1700.99
E00002,Off-1189,2024-01-28,38,1719.83
E00003,Tex-3734,2024-02-02,24,838.79
E00004,Tex-5658,2020-11-04,5,1781.15
E00005,Off-8734,2020-06-20,34,1709.31
E00006,Off-2528,2023-02-17,6,1874.49
E00007,Hom-4556,2022-05-15,22,1581.41
E00008,Hom-9838,2020-05-08,11,1354.53
E00009,Ele-6393,2024-07-13,48,1182.34
E00010,Off-9792,2021-11-22,16,775.95
E00011,Off-9433,2023-09-23,33,1883.26
E00012,Tex-8513,2020-06-12,9,1948.64
E00013,Ele-8041,2020-03-07,6,603.65
E00014,Off-7235,2018-08-24,16,645.46
E00015,Hom-8099,2022-05-23,29,996.95
E00001,Hom-1775,2020-02-04,3,924.43
E00002,Hom-9226,2021-06-06,20,1989.19
E00003,Tex-4152,2019-04-07,36,393.05
E00004,Off-2585,2021-05-29,19,85.25
E00005,Off-8555,2024-08-23,26,1013.09
E00006,Tex-2021,2021-04-30,3,398.7
E00007,Tex-4843,2023-06-07,19,764.61
E00008,Tex-7873,2019-06-18,20,1501.13
E00009,Off-1161,2021-02-10,32,1455.83
E00010,Tex-1995,2024-04-17,7,650.72
E00011,Tex-8629,2021-09-20,41,1107.95
E00012,Hom-2016,2021-05-03,33,1042.19
E00013,Tex-7439,2021-01-25,40,1290.85
E00014,Ele-7863,2022-01-19,39,538.4
E00015,Ele-9529,2023-12-15,18,1200.25
E00001,Hom-5887,2018-10-10,40,1958.84
E00002,Tex-5859,2021-04-20,1,999.15
E00003,Off-9571,2020-08-25,11,1816.89
E00004,Ele-8208,2018-04-04,28,897.07
E00005,Ele-3062,2023-05-29,25,732.65
